num,title,longitude,latitude
1,30.12.2018,-19.20212,27.30973
2,28.12.2018,-18.3631,27.45726
3,27.12.2018,-18.24261,27.54474
4,26.12.2018,-17.96478,27.6195
5,31.12.2018,-19.40894,27.51216
6,01.01.2019,-19.60904,27.70033
7,02.01.2019,-20.02972,27.87214
8,03.01.2019,-20.33694,28.03858
9,04.01.2019,-20.61919,28.25138
10,05.01.2019,-20.77408,28.42827
11,06.01.2019,-21.09856,28.64136
12,07.01.2019,-21.47519,28.94667
13,08.01.2019,-21.90435,29.0226
14,09.01.2019,-22.42444,28.99676
15,10.01.2019,-22.81155,28.98097
16,11.01.2019,-22.67016,29.00166
17,12.01.2019,-22.45861,28.95951
18,13.01.2019,-22.52697,29.1869
19,14.01.2019,-22.75342,29.48326
20,15.01.2019,-23.07204,29.60378
21,16.01.2019,-23.42651,29.57813
22,17.01.2019,-23.74698,29.30458
23,18.01.2019,-24.17917,28.7559
24,19.01.2019,-24.6849,28.5644
25,20.01.2019,-25.08053,28.50462
26,21.01.2019,-25.66037,28.12212
27,22.01.2019,-26.32241,27.71668
28,23.01.2019,-26.76309,27.66821
29,24.01.2019,-27.03159,27.79937
30,25.01.2019,-27.25043,28.06376
31,26.01.2019,-27.56002,28.42505
32,27.01.2019,-27.89954,28.68213
33,28.01.2019,-28.37283,28.87739
34,29.01.2019,-28.63458,29.15699
35,30.01.2019,-28.82714,29.31151
36,31.01.2019,-29.18593,29.32455
37,01.02.2019,-29.25391,29.17737
38,02.02.2019,-29.46545,28.72018
39,03.02.2019,-30.04407,28.62923
40,04.02.2019,-30.12146,28.65994
41,05.02.2019,-30.55615,28.61043
42,06.02.2019,-31.14852,28.28951
43,07.02.2019,-31.96518,27.92638
44,08.02.2019,-32.53426,27.85396
45,09.02.2019,-32.92578,27.89696
46,10.02.2019,-32.69936,27.90304
47,11.02.2019,-32.46343,27.74637
48,12.02.2019,-32.6621,27.26052
49,13.02.2019,-32.63765,26.96384
50,14.02.2019,-31.94208,26.49708
51,15.02.2019,-32.19979,26.00955
52,16.02.2019,-32.91379,25.51328
53,17.02.2019,-33.69466,25.12549
54,19.02.2019,-34.87792,24.47452
55,20.02.2019,-35.17336,24.23498
56,21.02.2019,-34.95837,24.33618
57,22.02.2019,-34.63641,24.23496
58,23.02.2019,-34.82497,24.26787
59,24.02.2019,-34.74703,24.36873
60,25.02.2019,-34.91149,24.02359
61,26.02.2019,-35.31821,23.76021
62,27.02.2019,-35.91602,23.28816
63,28.02.2019,-36.57061,23.30832
64,01.03.2019,-37.26323,23.209
65,02.03.2019,-37.74218,23.12247
66,03.03.2019,-38.32763,22.93152
67,04.03.2019,-38.95685,22.75385
68,05.03.2019,-39.70551,22.61457
69,06.03.2019,-40.38742,22.46462
70,07.03.2019,-41.23437,22.21148
71,08.03.2019,-42.06396,22.12135
72,09.03.2019,-42.48566,22.07043
73,10.03.2019,-42.88207,22.08414
74,11.03.2019,-43.37207,22.13053
75,12.03.2019,-43.55975,22.49379
76,13.03.2019,-43.56763,22.7834
77,14.03.2019,-44.0,23.77
